lat,lon,ele
44.863573,10.062514,76.1
44.863533,10.062636,76.1
44.863516,10.062689,76.1
44.8635,10.062743,76.1
44.863475,10.062802,76.1
44.863457,10.062831,76.1
44.863435,10.062862,76.1
44.863412,10.062897,76.1
44.863388,10.06293,76.1
44.863378,10.062952,76.1
44.863377,10.062961,76.1
44.863375,10.062971,76.1
44.863373,10.062981,76.1
44.863375,10.062997,76.1
44.863372,10.063001,76.1
44.863374,10.063012,76.1
44.863368,10.063026,76.1
44.863372,10.063034,76.1
44.863374,10.063046,76.1
44.863377,10.063066,76.1
44.863374,10.063091,76.1
44.863373,10.063107,76.1
44.863381,10.063131,76.2
44.863383,10.063141,76.2
44.863385,10.06315,76.2
44.863387,10.06316,76.2
44.86339,10.063176,76.2
44.863386,10.06318,76.2
44.86339,10.063188,76.2
44.863385,10.063182,76.2
44.863385,10.063185,76.2
44.863384,10.063191,76.2
44.863486,10.063144,76.2
44.863484,10.063136,76.2
44.863483,10.063132,76.2
44.863489,10.063123,76.2
44.86348,10.063104,76.2
44.863469,10.063104,76.2
44.863436,10.063104,76.2
44.863422,10.063105,76.2
44.863411,10.063095,76.2
44.863406,10.063093,76.2
44.863401,10.063091,76.2
44.863396,10.063089,76.2
44.863392,10.063087,76.2
44.863387,10.063085,76.2
44.86337,10.063083,76.2
44.863351,10.063081,76.2
44.863343,10.063067,76.2
44.863324,10.063054,76.2
44.863305,10.063029,76.2
44.863295,10.063013,76.2
44.863272,10.062986,76.2
44.863252,10.062955,76.2
44.863241,10.062942,76.2
44.863237,10.06294,76.2
44.863218,10.062925,76.2
44.863207,10.062928,76.2
44.86319,10.062922,76.2
44.86318,10.062919,76.2
44.863169,10.062916,76.2
44.863174,10.062909,76.2
44.863175,10.06291,76.2
44.863182,10.062902,76.2
44.863194,10.062902,76.2
44.8632,10.062899,76.2
44.863204,10.062892,76.2
44.863212,10.062889,76.2
44.863212,10.062896,76.2
44.863216,10.062889,76.2
44.863223,10.062877,76.2
44.863222,10.062872,76.2
44.863219,10.062855,76.2
44.86321,10.062872,76.2
44.863203,10.062872,76.2
44.863193,10.062861,76.2
44.863199,10.062865,76.2
44.863189,10.062863,76.2
44.863191,10.062863,76.2
44.863192,10.062864,76.2
44.863194,10.062865,76.2
44.8632,10.062861,76.2
44.863202,10.06286,76.2
44.863206,10.062881,76.2
44.86321,10.062877,76.2
44.863219,10.062871,76.2
44.863218,10.06286,76.2
44.863212,10.062828,76.2
44.863219,10.062826,76.2
44.863246,10.062818,76.2
44.863254,10.062821,76.2
44.863372,10.063035,76.2
